Code,Name,결산월,상장일,시가총액,유통시가총액,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)","P/FCF1(Adj., FY End)",EV/EBITDA,EV/EBIT,"DPS(보통주, 현금+주식, 연간)",year,수정주가,ROA,비유동부채,자산총계
A000020,동화약품,12,19760324,113122453500.0,65520525067.0,11.23,0.55,0.56,4.39,3.48,4.39,600.0,2006,6460,3.81,11961630.0,195293494.0
A000040,KR모터스,12,19760525,144125742600.0,111855988832.0,97.07,1.44,0.82,-7.78,16.84,40.67,0.0,2006,1098,-21.98,28190608.0,81250312.0
A000050,경방,12,19560303,275600000000.0,180269960000.0,426.23,0.86,2.01,5.78,15.34,20.66,0.0,2006,10339,-1.8,17344611.0,515345506.0
A000070,삼양홀딩스,12,19681227,602432236800.0,281576827480.0,8.36,0.57,0.53,11.16,4.6,6.21,1050.0,2006,63563,5.49,60878366.0,973804019.0
A000100,유한양행,12,19621101,1382097577000.0,1018467704491.0,25.28,2.67,4.07,-27.99,15.72,17.16,1000.0,2006,24911,7.53,95212024.0,746417156.0
A000120,CJ대한통운,12,19560702,851532374000.0,605780130864.0,9.38,0.54,0.38,50.52,6.44,11.52,0.0,2006,70275,1.47,325630138.0,1267194680.0
A000140,하이트진로홀딩스,12,19730919,2476439832000.0,1369471227096.0,47.46,3.12,3.62,98.33,20.64,31.14,1100.0,2006,63869,5.96,130290172.0,1851564645.0
A000150,두산,12,19730629,858825170350.0,290197025061.0,119.78,1.18,0.51,6.59,10.08,19.32,0.0,2006,44822,-1.5,1056720146.0,2674081845.0
A000180,성창기업지주,12,19760602,85800000000.0,61784580000.0,-21.91,0.86,0.58,-26.88,40.61,693.73,300.0,2006,1474,3.6,67975732.0,241072203.0
A000210,대림산업,12,19760202,2721360000000.0,2067417192000.0,8.1,1.22,0.65,38.61,5.89,6.17,1350.0,2006,76000,12.67,584120041.0,3509664802.0
A000220,유유제약,12,19751118,99426222500.0,54286717485.0,12.12,1.85,1.78,-7.15,7.63,8.89,240.0,2006,18800,6.93,29145911.0,88252762.0
A000230,일동홀딩스,12,19750628,186176028800.0,144323657526.0,8.57,1.22,0.75,20.39,4.78,5.93,800.0,2006,6366,4.69,20722734.0,200671206.0
A000240,한국타이어월드와이드,12,19681227,2100221020200.0,1295416325259.0,9.92,1.5,1.06,18.26,5.21,8.23,250.0,2006,7824,8.85,97460239.0,1889604879.0
A000250,삼천당제약,12,20001004,73200000000.0,44652000000.0,10.98,1.09,1.33,-407.94,4.45,6.37,50.0,2006,2845,9.8,5497805.0,70053417.0
A000270,기아차,12,19730721,7152947373000.0,3578619570712.0,13.54,1.75,0.58,-6.69,7.7,14.41,0.0,2006,13450,6.3,2101071000.0,10685879000.0
A000300,대유플러스,12,19750609,27334562625.0,14153836527.0,-5.01,2.16,0.18,-3.81,33.22,-13.69,0.0,2006,2335,-16.84,12876235.0,36562882.0
A000320,노루홀딩스,12,19730810,191578187500.0,52760632838.0,19.14,0.65,0.86,29.46,9.23,12.94,0.0,2006,6224,5.28,61759667.0,349664826.0
A000360,삼환기업,12,19730903,267842931750.0,165098383131.0,5.57,0.54,0.4,3.2,2.35,2.45,600.0,2006,48069,4.47,135923121.0,714564253.0
A000390,삼화페인트,12,19930910,71344000000.0,38625641600.0,11.12,0.68,0.36,3.06,5.53,7.45,175.0,2006,3400,4.48,37043508.0,186856724.0
A000420,로케트전기,12,19880805,38474605000.0,32903482196.0,-12.95,2.66,0.72,4.58,28.78,105.08,0.0,2006,1195,-6.65,20584767.0,69203033.0
A000430,대원강업,12,19770622,110700000000.0,76383000000.0,16.27,0.87,0.33,-12.82,7.69,16.73,750.0,2006,1674,7.4,22980924.0,294277593.0
A000440,중앙에너비스,12,19960701,15198600000.0,5828663100.0,12.56,0.37,0.17,15.08,7.6,10.19,800.0,2006,5234,3.47,4359080.0,51819700.0
A000480,조선내화,12,19780630,169200000000.0,52215120000.0,5.9,0.46,0.51,13.14,3.8,4.63,1300.0,2006,52000,8.74,6649574.0,297476149.0
A000490,대동공업,12,19750627,48405548400.0,26434269981.0,10.91,0.31,0.16,-2.57,2.91,9.66,350.0,2006,2720,1.85,21301489.0,238329440.0
A000500,가온전선,12,19870608,63765000000.0,36008095500.0,7.4,0.43,0.14,-4.33,5.42,7.68,1000.0,2006,24471,4.22,19824865.0,227790499.0
A000520,삼일제약,12,19850529,100100000000.0,66756690000.0,8.72,1.32,0.97,39.27,4.28,4.97,300.0,2006,19893,8.85,4205613.0,70121818.0
A000590,CS홀딩스,12,19751222,26760000000.0,9010092000.0,5.13,0.42,0.3,3.82,2.04,3.11,0.0,2006,27267,9.02,1471060.0,66348431.0
A000640,동아쏘시오홀딩스,12,19700210,711554900000.0,569599697450.0,38.1,3.04,1.81,50.68,14.58,18.45,850.0,2006,60401,4.84,152557276.0,556434116.0
A000650,천일고속,12,19770623,50498400000.0,36838582800.0,71.25,2.91,1.33,-8.66,17.43,149.74,400.0,2006,47489,0.73,5756145.0,32214253.0
A000660,SK하이닉스,12,19961226,14566846807500.0,12116703174479.0,8.67,2.54,2.74,48.43,5.84,9.83,0.0,2006,36450,22.33,2069482000.0,8255022000.0
A000670,영풍,12,19760612,322357000000.0,33073828200.0,7.57,0.39,0.6,6.58,4.19,7.11,2000.0,2006,276500,6.27,191130202.0,842397070.0
